"interpro_accession","total_freq","inKaKs2","geneid_vec","interpro_description","geneid_vec_wKaKs2","expected_freq","IDlong","fisher_res","fisher_res_BF","fisher_res_Holm","fisher_res_BH","fisher_res_BY"
"IPR042063",1,0,"FUN_004347","Ubiquitin-activating enzyme E1, SCCH domain",NA,0.00410813676119799,"Ubiquitin-activating enzyme E1, SCCH domain IPR042063",1,1,1,1,1
"IPR042066",1,0,"FUN_009857","Spt6, Death-like domain",NA,0.00410813676119799,"Spt6, Death-like domain IPR042066",1,1,1,1,1
"IPR042070",2,0,"FUN_013880,FUN_013851","PucR C-terminal helix-turn-helix domain superfamily",NA,0.00821627352239597,"PucR C-terminal helix-turn-helix domain superfamily IPR042070",1,1,1,1,1
"IPR042086",1,0,"FUN_006524","Methyltransferase, alpha-helical capping domain",NA,0.00410813676119799,"Methyltransferase, alpha-helical capping domain IPR042086",1,1,1,1,1
"IPR042087",1,0,"FUN_001003","DNA polymerase family B, C-terminal domain",NA,0.00410813676119799,"DNA polymerase family B, C-terminal domain IPR042087",1,1,1,1,1
"IPR042091",1,0,"FUN_000069","Ska2, N-terminal",NA,0.00410813676119799,"Ska2, N-terminal IPR042091",1,1,1,1,1
"IPR042092",5,0,"FUN_006286,FUN_014300,FUN_013060,FUN_015331,FUN_014790","Pseudouridine synthase, RsuA/RluB/E/F, catalytic domain",NA,0.0205406838059899,"Pseudouridine synthase, RsuA/RluB/E/F, catalytic domain IPR042092",1,1,1,1,1
"IPR042094",4,0,"FUN_014701,FUN_014701,FUN_013203,FUN_013203","Type II secretion system GspF domain superfamily",NA,0.0164325470447919,"Type II secretion system GspF domain superfamily IPR042094",1,1,1,1,1
"IPR042095",7,0,"FUN_004182,FUN_002751,FUN_006497,FUN_014403,FUN_014403,FUN_015379,FUN_015379","Sulfatase-modifying factor enzyme superfamily",NA,0.0287569573283859,"Sulfatase-modifying factor enzyme superfamily IPR042095",1,1,1,1,1
"IPR042096",4,0,"FUN_004230,FUN_012959,FUN_013382,FUN_015917","Dihydroxy-acid dehydratase, C-terminal",NA,0.0164325470447919,"Dihydroxy-acid dehydratase, C-terminal IPR042096",1,1,1,1,1
"IPR042097",4,0,"FUN_016118,FUN_015770,FUN_015927,FUN_015033","Aminopeptidase N-like , N-terminal",NA,0.0164325470447919,"Aminopeptidase N-like , N-terminal IPR042097",1,1,1,1,1
"IPR042098",5,0,"FUN_000805,FUN_002007,FUN_005399,FUN_013510,FUN_009788","Taurine dioxygenase TauD-like superfamily",NA,0.0205406838059899,"Taurine dioxygenase TauD-like superfamily IPR042098",1,1,1,1,1
"IPR042099",37,0,"FUN_003659,FUN_001491,FUN_001491,FUN_002116,FUN_002116,FUN_003692,FUN_003196,FUN_000863,FUN_006891,FUN_005812,FUN_005812,FUN_006232,FUN_006232,FUN_004830,FUN_004830,FUN_013319,FUN_013805,FUN_014309,FUN_014544,FUN_013061,FUN_012690,FUN_012695,FUN_014162,FUN_013814,FUN_013605,FUN_013971,FUN_014646,FUN_013528,FUN_014335,FUN_009948,FUN_015053,FUN_015778,FUN_015778,FUN_016105,FUN_008867,FUN_008867,FUN_008867","AMP-dependent synthetase-like superfamily",NA,0.152001060164325,"AMP-dependent synthetase-like superfamily IPR042099",1,1,1,1,1
"IPR042101",6,0,"FUN_001896,FUN_006152,FUN_013991,FUN_014446,FUN_015489,FUN_016320","Signal recognition particle SRP54, N-terminal domain superfamily",NA,0.0246488205671879,"Signal recognition particle SRP54, N-terminal domain superfamily IPR042101",1,1,1,1,1
"IPR042102",4,0,"FUN_002405,FUN_003039,FUN_010782,FUN_014124","RNA polymerase Rpb1, domain 3 superfamily",NA,0.0164325470447919,"RNA polymerase Rpb1, domain 3 superfamily IPR042102",1,1,1,1,1
"IPR042103",3,0,"FUN_004246,FUN_004899,FUN_016631","Serine-tRNA synthetase, type1, N-terminal domain superfamily",NA,0.012324410283594,"Serine-tRNA synthetase, type1, N-terminal domain superfamily IPR042103",1,1,1,1,1
"IPR042104",1,0,"FUN_005356","Polyketide synthase, dehydratase domain superfamily",NA,0.00410813676119799,"Polyketide synthase, dehydratase domain superfamily IPR042104",1,1,1,1,1
"IPR042105",1,0,"FUN_014093","Ribosomal protein L31 superfamily",NA,0.00410813676119799,"Ribosomal protein L31 superfamily IPR042105",1,1,1,1,1
"IPR042108",3,0,"FUN_002835,FUN_013117,FUN_016744","GTPase HflX, N-terminal domain superfamily",NA,0.012324410283594,"GTPase HflX, N-terminal domain superfamily IPR042108",1,1,1,1,1
"IPR042109",2,0,"FUN_013114,FUN_015697","Adenylosuccinate synthetase, domain 1",NA,0.00821627352239597,"Adenylosuccinate synthetase, domain 1 IPR042109",1,1,1,1,1
"IPR042110",2,0,"FUN_013114,FUN_015697","Adenylosuccinate synthetase, domain 2",NA,0.00821627352239597,"Adenylosuccinate synthetase, domain 2 IPR042110",1,1,1,1,1
"IPR042111",2,0,"FUN_013114,FUN_015697","Adenylosuccinate synthetase, domain 3",NA,0.00821627352239597,"Adenylosuccinate synthetase, domain 3 IPR042111",1,1,1,1,1
"IPR042112",2,0,"FUN_013310,FUN_016528","Phosphate acetyltransferase, domain 2",NA,0.00821627352239597,"Phosphate acetyltransferase, domain 2 IPR042112",1,1,1,1,1
"IPR042113",2,0,"FUN_013310,FUN_016528","Phosphate acetyltransferase, domain 1",NA,0.00821627352239597,"Phosphate acetyltransferase, domain 1 IPR042113",1,1,1,1,1
"IPR042114",2,0,"FUN_004405,FUN_014368","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 1",NA,0.00821627352239597,"Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 1 IPR042114",1,1,1,1,1
"IPR042115",2,0,"FUN_014092,FUN_015817","Primosomal protein N', 3' DNA-binding domain superfamily",NA,0.00821627352239597,"Primosomal protein N', 3' DNA-binding domain superfamily IPR042115",1,1,1,1,1
